PartitionKey,RowKey,OrderNumber,OrderNumber@type,Code,Code@type,ValidityFlag,ValidityFlag@type,ShortDescription,ShortDescription@type,LongDescription,LongDescription@type
ICD10,374f3a44-e20c-4ce8-9461-d0d7065e9443,70556,,S99202P,,true,,"Unspecified physeal fracture of phalanx of left toe, 7thP",,"Unspecified physeal fracture of phalanx of left toe, subsequent encounter for fracture with malunion",
ICD10,374f3a61-dc6b-4e15-916e-aa167d7e980e,85687,,V0402XA,,true,,"Ped on sktbrd injured in collision w hv veh nontraf, init",,"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",
ICD10,374fe3a7-c93c-4668-8fe4-65e27c271f71,60721,,S79141,,false,,Sltr-haris Type IV physeal fx lower end of right femur,,Salter-Harris Type IV physeal fracture of lower end of right femur,
ICD10,3750e864-97d3-4289-bfbe-71de03f69ba6,12381,,I70201,,true,,"Unsp athscl native arteries of extremities, right leg",,"Unspecified atherosclerosis of native arteries of extremities, right leg",
ICD10,37510c12-d1a8-4414-ab3a-52c62089661c,74321,,T25491S,,true,,"Corrosion of unsp deg mult sites of right ank/ft, sequela",,"Corrosion of unspecified degree of multiple sites of right ankle and foot, sequela",
ICD10,37527eb3-7be2-4c3c-bc4c-bc5d738bb167,46437,,S52291B,,true,,"Oth fx shaft of right ulna, init for opn fx type I/2",,"Other fracture of shaft of right ulna, initial encounter for open fracture type I or II",
ICD10,3752e5f5-2caa-437a-b246-27809dee4e27,21694,,M80841,,false,,"Oth osteoporosis w current pathological fracture, right hand",,"Other osteoporosis with current pathological fracture, right hand",
ICD10,3753b2f9-8ae8-4deb-9471-e19ebbb808bf,88760,,V702XXA,,true,,"Person outside bus injured in clsn w ped/anml nontraf, init",,"Person on outside of bus injured in collision with pedestrian or animal in nontraffic accident, initial encounter",
ICD10,3753ea20-de8c-4fef-a894-dd750a156a45,33917,,S1014XA,,true,,"External constriction of part of throat, initial encounter",,"External constriction of part of throat, initial encounter",
ICD10,37540b25-0cbb-4b2d-9157-3c34e002e0ec,69985,,S96921D,,true,,"Laceration of unsp msl/tnd at ank/ft level, right foot, subs",,"Laceration of unspecified muscle and tendon at ankle and foot level, right foot, subsequent encounter",
ICD10,3754255f-ae50-47ea-8c56-d5abf61be823,64979,,S83512D,,true,,"Sprain of anterior cruciate ligament of left knee, subs",,"Sprain of anterior cruciate ligament of left knee, subsequent encounter",
ICD10,3754fc99-2a70-4ee8-8f35-b66dc2a7ef03,89804,,V879XXD,,true,,"Person injured in oth transport acc involving non-mv, subs",,"Person injured in other specified (collision)(noncollision) transport accidents involving nonmotor vehicle (traffic), subsequent encounter",
ICD10,3756cc5c-b2e8-40f3-b7ee-def6d9bfbcb2,52831,,S62390K,,true,,"Oth fx second MC bone, right hand, subs for fx w nonunion",,"Other fracture of second metacarpal bone, right hand, subsequent encounter for fracture with nonunion",
ICD10,37587c07-4291-472f-ab49-2f7d285d5ca8,62692,,S82245R,,true,,"Nondisp spiral fx shaft of l tibia, 7thR",,"Nondisplaced spiral fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",
ICD10,3758e9f3-3f0e-42c7-851d-58b7863bb859,09667,,H4052X4,,true,,"Glaucoma sec to oth eye disord, l eye, indeterminate stage",,"Glaucoma secondary to other eye disorders, left eye, indeterminate stage",
ICD10,3759cdcf-1104-4c16-bff2-80f6e7fb7dc2,71246,,T2019XD,,true,,"Burn of first deg mult sites of head, face, and neck, subs",,"Burn of first degree of multiple sites of head, face, and neck, subsequent encounter",
ICD10,3759fb78-cc7f-4a3d-9c1b-8bac11f1ff81,16237,,M02872,,true,,"Other reactive arthropathies, left ankle and foot",,"Other reactive arthropathies, left ankle and foot",
ICD10,375a1781-7f6d-47e7-bf7f-99d5f7240d25,51148,,S61338S,,true,,"Pnctr w/o foreign body of finger w damage to nail, sequela",,"Puncture wound without foreign body of other finger with damage to nail, sequela",
ICD10,375ab6d7-dd4c-4099-8eff-121cd87bf2f5,09979,,H470,,false,,"Disorders of optic nerve, not elsewhere classified",,"Disorders of optic nerve, not elsewhere classified",
ICD10,375bd4ba-281a-484b-bbdf-acbbab7e93fb,71505,,T2074XA,,true,,"Corrosion of third degree of nose (septum), init encntr",,"Corrosion of third degree of nose (septum), initial encounter",
ICD10,375be043-71d0-4f42-8cc5-9faac0931748,16207,,M0238,,true,,"Reiter's disease, vertebrae",,"Reiter's disease, vertebrae",
ICD10,375c2d86-7b3c-4a85-9608-6e9e5def7878,79330,,T503X1A,,true,,"Poisoning by electrolytic/caloric/wtr-bal agnt, acc, init",,"Poisoning by electrolytic, caloric and water-balance agents, accidental (unintentional), initial encounter",
ICD10,375eca72-9ef4-41ba-b45e-6b6e4bbad58c,97104,,Z860101,,true,,Personal history of adenomatous and serrated colon polyps,,Personal history of adenomatous and serrated colon polyps,
ICD10,375f2349-9d65-4dfb-9ff6-795d1c882bd4,65978,,S8902,,false,,Salter-Harris Type II physeal fracture of upper end of tibia,,Salter-Harris Type II physeal fracture of upper end of tibia,
ICD10,37607f21-334d-4251-9747-ca616c96c075,65009,,S8362XD,,true,,"Sprain of the super tibiofibul joint and ligmt, l knee, subs",,"Sprain of the superior tibiofibular joint and ligament, left knee, subsequent encounter",
ICD10,37608f38-debf-4597-ab84-88948a382309,30284,,R040,,true,,Epistaxis,,Epistaxis,
ICD10,37609ef0-810d-43b1-9fbc-d69fcc6be0fb,36228,,S22008G,,true,,"Oth fracture of unsp thor vertebra, subs for fx w delay heal",,"Other fracture of unspecified thoracic vertebra, subsequent encounter for fracture with delayed healing",
ICD10,376267e4-80c3-4c78-9d0d-0f5f33b79696,81580,,T63453S,,true,,"Toxic effect of venom of hornets, assault, sequela",,"Toxic effect of venom of hornets, assault, sequela",
ICD10,376288c4-ecb5-4665-a02b-c0fc22b49aea,46874,,S52351C,,true,,"Displ commnt fx shaft of rad, r arm, 7thC",,"Displaced comminuted fracture of shaft of radius, right arm, initial encounter for open fracture type IIIA, IIIB, or IIIC",
ICD10,376296e8-6230-4d1b-902e-b1fd09c6f2d4,84759,,T85518D,,true,,"Breakdown (mechanical) of GI prosth dev/grft, subs",,"Breakdown (mechanical) of other gastrointestinal prosthetic devices, implants and grafts, subsequent encounter",
ICD10,3762fa3e-ee6a-46e5-b104-2c55111a16dd,37375,,S27421A,,true,,"Contusion of bronchus, unilateral, initial encounter",,"Contusion of bronchus, unilateral, initial encounter",
ICD10,37633041-f074-4ea6-a1ed-511ed82fd5f8,52715,,S62356D,,true,,"Nondisp fx of shaft of 5th MC bone, r hand, 7thD",,"Nondisplaced fracture of shaft of fifth metacarpal bone, right hand, subsequent encounter for fracture with routine healing",
ICD10,3763a156-aee0-480e-a04a-13f1ae93e997,38845,,S3219XG,,true,,"Oth fracture of sacrum, subs for fx w delay heal",,"Other fracture of sacrum, subsequent encounter for fracture with delayed healing",
ICD10,37642a01-b6a7-4546-b028-6715f08af233,88256,,V584XXS,,true,,"Prsn brd/alit pk-up/van inj in nonclsn trnsp acc, sequela",,"Person boarding or alighting a pick-up truck or van injured in noncollision transport accident, sequela",
ICD10,376532c0-d23b-4aa1-b8c6-9b5aba2c0d9b,70994,,T17808D,,true,,"Unsp fb in oth prt resp tract causing oth injury, subs",,"Unspecified foreign body in other parts of respiratory tract causing other injury, subsequent encounter",
ICD10,3766223e-85ef-49df-bf38-21a7a0061bf3,51653,,S62122B,,true,,"Disp fx of lunate, left wrist, init encntr for open fracture",,"Displaced fracture of lunate [semilunar], left wrist, initial encounter for open fracture",
ICD10,37677ba5-df1e-4703-ad3b-9894328599bb,70479,,S99132K,,true,,"Sltr-haris Type III physeal fx left metatarsal, 7thK",,"Salter-Harris Type III physeal fracture of left metatarsal, subsequent encounter for fracture with nonunion",
ICD10,3767a851-d93f-476e-bab3-9299115bddd3,35682,,S20419A,,true,,"Abrasion of unspecified back wall of thorax, init encntr",,"Abrasion of unspecified back wall of thorax, initial encounter",
ICD10,3767bbc1-86fe-41bb-9e60-f72cf33bb071,63668,,S82491C,,true,,"Oth fx shaft of r fibula, init for opn fx type 3A/B/C",,"Other fracture of shaft of right fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",
ICD10,37688f27-ddb1-4d00-9ac5-78281db3a845,71569,,T2111XD,,true,,"Burn of first degree of chest wall, subsequent encounter",,"Burn of first degree of chest wall, subsequent encounter",
ICD10,3768c7c3-dc82-4869-b380-fb812f6612f7,09716,,H409,,true,,Unspecified glaucoma,,Unspecified glaucoma,
ICD10,3768cede-d5b1-47c6-a364-6faa35a6fd4c,73496,,T2376,,false,,Corrosion of third degree of back of hand,,Corrosion of third degree of back of hand,
